"","home_team_long_name","league_name","home_team_short_name","home_team_api_id","variable","value"
"172","Real Valladolid","Spain LIGA BBVA","VAL",10281,"Overall",774.84873636547
"173","Bayer 04 Leverkusen","Germany 1. Bundesliga","LEV",8178,"Overall",843.111234534926
"174","TSG 1899 Hoffenheim","Germany 1. Bundesliga","HOF",8226,"Overall",799.226216914706
"175","SV Werder Bremen","Germany 1. Bundesliga","WBR",8697,"Overall",791.434664728584
"176","SC Freiburg","Germany 1. Bundesliga","FRE",8358,"Overall",789.535447196446
"177","1. FSV Mainz 05","Germany 1. Bundesliga","MAI",9905,"Overall",796.479625402648
"178","VfB Stuttgart","Germany 1. Bundesliga","STU",10269,"Overall",809.004126662159
"179","FC Schalke 04","Germany 1. Bundesliga","S04",10189,"Overall",849.819118608428
"180","1. FC Nürnberg","Germany 1. Bundesliga","NUR",8165,"Overall",796.880058608243
"181","FC Augsburg","Germany 1. Bundesliga","AUG",8406,"Overall",777.781338711751
"182","Fortuna Düsseldorf","Germany 1. Bundesliga","FDU",8194,"Overall",760.152037526724
"183","VfL Wolfsburg","Germany 1. Bundesliga","WOL",8721,"Overall",836.070020724131
"184","Borussia Dortmund","Germany 1. Bundesliga","DOR",9789,"Overall",871.623250290015
"185","Borussia Mönchengladbach","Germany 1. Bundesliga","GLA",9788,"Overall",810.484367350742
"186","Eintracht Frankfurt","Germany 1. Bundesliga","EFR",9810,"Overall",798.344446056105
"187","FC Bayern Munich","Germany 1. Bundesliga","BMU",9823,"Overall",910.490328881734
"188","Hannover 96","Germany 1. Bundesliga","HAN",9904,"Overall",810.978601183601
"189","Hamburger SV","Germany 1. Bundesliga","HAM",9790,"Overall",831.740574755357
"190","1. FSV Mainz 05","Germany 1. Bundesliga","MAI",9905,"Overall",795.593836222022
"191","FC Schalke 04","Germany 1. Bundesliga","S04",10189,"Overall",841.577229218777
"192","Hamburger SV","Germany 1. Bundesliga","HAM",9790,"Overall",828.827001770608
"193","TSG 1899 Hoffenheim","Germany 1. Bundesliga","HOF",8226,"Overall",816.297587756226
"194","Hannover 96","Germany 1. Bundesliga","HAN",9904,"Overall",812.097551152551
"195","FC Augsburg","Germany 1. Bundesliga","AUG",8406,"Overall",763.099543512044
"196","Bayer 04 Leverkusen","Germany 1. Bundesliga","LEV",8178,"Overall",842.201893875585
"197","Borussia Dortmund","Germany 1. Bundesliga","DOR",9789,"Overall",874.609559813824
"198","SV Werder Bremen","Germany 1. Bundesliga","WBR",8697,"Overall",806.171827514984
"199","1. FC Nürnberg","Germany 1. Bundesliga","NUR",8165,"Overall",795.894318857797
"200","SpVgg Greuther Fürth","Germany 1. Bundesliga","GRF",8357,"Overall",748.838560197026
"201","Borussia Mönchengladbach","Germany 1. Bundesliga","GLA",9788,"Overall",811.999966758347
"202","Fortuna Düsseldorf","Germany 1. Bundesliga","FDU",8194,"Overall",765.487692400449
"203","FC Bayern Munich","Germany 1. Bundesliga","BMU",9823,"Overall",843.263402310456
"204","VfL Wolfsburg","Germany 1. Bundesliga","WOL",8721,"Overall",819.057316536764
"205","Eintracht Frankfurt","Germany 1. Bundesliga","EFR",9810,"Overall",800.786989915754
"206","VfB Stuttgart","Germany 1. Bundesliga","STU",10269,"Overall",810.362133198107
"207","Real Valladolid","Spain LIGA BBVA","VAL",10281,"Overall",787.937907085418
