"","league_name","home_team_api_id","home_team_short_name","home_team_long_name","Overall","Potential","Stamina","Agility","Aggression"
"141","Spain LIGA BBVA",8315,"BIL","Athletic Club de Bilbao",835.274496336996,870.323722527472,813.144468864469,735.058493589744,772.162934981685
"142","Spain LIGA BBVA",8558,"ESP","RCD Espanyol",773.668699969621,837.130604966069,740.654073467239,746.437666135035,707.892557507852
"143","Spain LIGA BBVA",8634,"BAR","FC Barcelona",913.334815508565,949.050509490509,799.107271062271,840.91862993488,736.70716968217
"144","Spain LIGA BBVA",7878,"GRA","Granada CF",792.370766133022,830.88677357428,717.739182346618,749.089131033428,670.085264037468
"145","Spain LIGA BBVA",9783,"COR","RC Deportivo de La Coruña",803.375029255253,835.186626460724,702.03762074639,714.193813052601,672.585392401145
"146","Spain LIGA BBVA",10267,"VAL","Valencia CF",856.549453211218,888.839328904035,785.762805539276,801.494296373708,744.397102420632
"147","Spain LIGA BBVA",8661,"MAL","RCD Mallorca",806.801318699417,840.461481249285,764.663592599974,704.739411915403,742.84877816959
"148","Spain LIGA BBVA",8560,"SOC","Real Sociedad",819.851708072915,863.409643091687,757.416997410341,774.135475200181,677.294489044953
"149","Spain LIGA BBVA",8603,"BET","Real Betis Balompié",806.098156288156,834.749432234432,752.455299145299,694.029261294261,712.931562881563
"150","Spain LIGA BBVA",8581,"LEV","Levante UD",798.056029538044,828.167819888798,748.363580092092,732.20111633556,725.164781072304
"151","Spain LIGA BBVA",10281,"VAL","Real Valladolid",781.700499499054,812.172102072967,758.145060310754,713.814292172096,705.245076686139
"152","Spain LIGA BBVA",8633,"REA","Real Madrid CF",899.52987274251,935.212586633103,781.832129996115,822.346524540381,752.345341856563
"153","Spain LIGA BBVA",8302,"SEV","Sevilla FC",857.478255937854,885.037790130406,785.940989353574,757.727721703171,763.998728075539
"154","Spain LIGA BBVA",8394,"ZAR","Real Zaragoza",794.142597970771,826.517222640907,773.52804212185,731.004058388579,734.981293594606
"155","Spain LIGA BBVA",8661,"MAL","RCD Mallorca",799.159470646313,836.835704317612,750.706216298322,719.318601902484,707.845684286474
"156","Spain LIGA BBVA",8558,"ESP","RCD Espanyol",790.413937824488,843.945465807431,751.730792999446,751.475030966551,714.380298599712
"157","Spain LIGA BBVA",10267,"VAL","Valencia CF",839.063788004964,881.980936760988,749.737567889742,770.027605898322,720.050095151118
"158","Spain LIGA BBVA",8302,"SEV","Sevilla FC",833.58673967691,874.364209692383,805.22581469679,756.139929294341,706.387581395708
"159","Spain LIGA BBVA",7878,"GRA","Granada CF",795.614029000423,831.469315170614,755.132768071238,742.604093657011,739.491194696847
"160","Spain LIGA BBVA",9783,"COR","RC Deportivo de La Coruña",796.312614858056,833.096866944878,705.998928279436,721.533230157236,657.139764116386
"161","Spain LIGA BBVA",9864,"MAL","Málaga CF",829.908865778044,868.298813420087,739.954588794432,754.821751051094,695.788633775804
"162","Spain LIGA BBVA",8370,"RAY","Rayo Vallecano",794.943427884988,822.740546412241,746.709050414632,706.934739318652,753.118973411499
"163","Spain LIGA BBVA",9910,"CEL","RC Celta de Vigo",770.850567786461,819.110757738594,757.057626466901,761.028631004907,652.695763579685
"164","Spain LIGA BBVA",8633,"REA","Real Madrid CF",916.393365233422,949.644006434492,821.726825116526,840.676612559517,722.789031981368
"165","Spain LIGA BBVA",8305,"GET","Getafe CF",807.286934029611,843.98878271487,714.018024529924,715.579678432424,715.365335300347
"166","Spain LIGA BBVA",8634,"BAR","FC Barcelona",922.260584314133,954.737275770824,826.945824569696,826.648480456222,701.924594855563
"167","Spain LIGA BBVA",8560,"SOC","Real Sociedad",801.109257443125,840.124569576114,764.018604179531,737.456084656085,716.241271354715
"168","Spain LIGA BBVA",9906,"AMA","Atlético Madrid",872.605631119378,910.242590009214,814.490542681719,802.488427540537,763.946629552128
"169","Spain LIGA BBVA",8371,"OSA","CA Osasuna",784.190759250284,811.427704974067,780.388094479256,712.113908558811,737.588997216869
"170","Spain LIGA BBVA",8603,"BET","Real Betis Balompié",808.075537240537,835.151813186813,739.049743589744,686.936800976801,738.664499389499
"171","Spain LIGA BBVA",8581,"LEV","Levante UD",800.981380010947,838.747190198119,740.295057220785,699.312068025969,745.712754820278
"172","Spain LIGA BBVA",10281,"VAL","Real Valladolid",774.84873636547,801.389595409632,741.952012074771,727.953074422385,649.424962816306
"173","Germany 1. Bundesliga",8178,"LEV","Bayer 04 Leverkusen",843.111234534926,894.080658552124,801.350295195674,750.389265701914,714.457139880234
"174","Germany 1. Bundesliga",8226,"HOF","TSG 1899 Hoffenheim",799.226216914706,852.448023896414,731.847519077628,738.238615974683,638.500837054539
"175","Germany 1. Bundesliga",8697,"WBR","SV Werder Bremen",791.434664728584,841.15050744013,784.036346595478,717.175293747398,719.449348993706
"176","Germany 1. Bundesliga",8358,"FRE","SC Freiburg",789.535447196446,828.950067697403,762.42577779073,746.464687713181,694.202425689037
"177","Germany 1. Bundesliga",9905,"MAI","1. FSV Mainz 05",796.479625402648,836.239667060966,756.407444342124,696.836655807376,714.656832066951
"178","Germany 1. Bundesliga",10269,"STU","VfB Stuttgart",809.004126662159,851.023445700119,759.610878328343,772.224954119579,680.388685405196
"179","Germany 1. Bundesliga",10189,"S04","FC Schalke 04",849.819118608428,881.543318909086,806.26962484975,746.308574030035,726.066967736318
"180","Germany 1. Bundesliga",8165,"NUR","1. FC Nürnberg",796.880058608243,836.91558957747,731.094286611064,666.212979553798,735.093707149513
"181","Germany 1. Bundesliga",8406,"AUG","FC Augsburg",777.781338711751,818.473491431225,791.517394825981,733.340792261879,711.473502428528
"182","Germany 1. Bundesliga",8194,"FDU","Fortuna Düsseldorf",760.152037526724,798.700192748137,767.451416604713,688.391310874897,729.155485668079
